id;name;series;description
1;Rubber Granite;withdrawal Engineer multi-byte;e-business Internal
2;Berkshire panel;Mountains Industrial interface;experiences
3;metrics impactful Awesome;Developer;bandwidth
4;Cross-platform Loan Baby;Sports;Pants
5;Data;violet Account;Planner Division
6;Bike;neural Assistant;Granite Kuna
7;efficient mobile;JBOD;hard Executive Personal
8;Kip;Chair pixel killer;Interactions
9;Technician;Cross-group Legacy AI;Human bluetooth Integration
10;SDR;Pizza Steel Iowa;implement
